product_code,product_color,color_id,style_id,fit,composition
0985197002,Midnight blue,002,0985197,Slim fit,Pocket lining: Cotton 100%
0985197002,Midnight blue,002,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985197003,Denim blue,003,0985197,Slim fit,Pocket lining: Cotton 100%
0985197003,Denim blue,003,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985197004,Dark denim blue,004,0985197,Slim fit,Pocket lining: Cotton 100%
0985197004,Dark denim blue,004,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985197005,Dark denim blue,005,0985197,Slim fit,Pocket lining: Cotton 100%
0985197005,Dark denim blue,005,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985197006,Light denim blue,006,0985197,Slim fit,Pocket lining: Cotton 100%
0985197006,Light denim blue,006,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985197007,Dark gray,007,0985197,Slim fit,Pocket lining: Cotton 100%
0985197007,Dark gray,007,0985197,Slim fit,"Shell: Cotton 98%, Spandex 2%"
0985159002,Denim blue,002,0985159,Skinny fit,"Shell: Cotton 99%, Spandex 1%"
0985159002,Denim blue,002,0985159,Skinny fit,Pocket lining: Cotton 100%
0985159003,Dark gray,003,0985159,Skinny fit,"Shell: Cotton 99%, Spandex 1%"
0985159003,Dark gray,003,0985159,Skinny fit,Pocket lining: Cotton 100%
0985159004,Light denim blue,004,0985159,Skinny fit,"Shell: Cotton 99%, Spandex 1%"
0985159004,Light denim blue,004,0985159,Skinny fit,Pocket lining: Cotton 100%
0985159005,Dark blue,005,0985159,Skinny fit,"Shell: Cotton 99%, Spandex 1%"
0985159005,Dark blue,005,0985159,Skinny fit,Pocket lining: Cotton 100%
0985159006,Dark denim blue,006,0985159,Skinny fit,"Shell: Cotton 99%, Spandex 1%"
0985159006,Dark denim blue,006,0985159,Skinny fit,Pocket lining: Cotton 100%
0690449001,Light denim blue/trashed,001,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449002,Denim blue,002,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449006,Black/washed,006,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449007,Light denim blue,007,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449009,Black washed out,009,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449011,White,011,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449013,Black/washed,013,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449021,Dark denim blue/trashed,021,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449022,Black/trashed,022,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449024,Dark blue/Trashed,024,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449028,Dark blue/washed out,028,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449035,Denim blue/trashed,035,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449036,Black,036,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449040,Denim gray,040,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449043,Light denim blue/trashed,043,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449046,Light denim gray/Trashed,046,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449001,Light denim blue/trashed,001,0690449,Skinny fit,Lining: Polyester 100%
0690449001,Light denim blue/trashed,001,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449002,Denim blue,002,0690449,Skinny fit,Lining: Polyester 100%
0690449002,Denim blue,002,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449006,Black/washed,006,0690449,Skinny fit,Lining: Polyester 100%
0690449006,Black/washed,006,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449007,Light denim blue,007,0690449,Skinny fit,Lining: Polyester 100%
0690449007,Light denim blue,007,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449009,Black washed out,009,0690449,Skinny fit,Lining: Polyester 100%
0690449009,Black washed out,009,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449011,White,011,0690449,Skinny fit,Lining: Polyester 100%
0690449011,White,011,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449013,Black/washed,013,0690449,Skinny fit,Lining: Polyester 100%
0690449013,Black/washed,013,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449021,Dark denim blue/trashed,021,0690449,Skinny fit,Lining: Polyester 100%
0690449021,Dark denim blue/trashed,021,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449024,Dark blue/Trashed,024,0690449,Skinny fit,Lining: Polyester 100%
0690449024,Dark blue/Trashed,024,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449028,Dark blue/washed out,028,0690449,Skinny fit,Lining: Polyester 100%
0690449028,Dark blue/washed out,028,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449035,Denim blue/trashed,035,0690449,Skinny fit,Lining: Polyester 100%
0690449035,Denim blue/trashed,035,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449036,Black,036,0690449,Skinny fit,Lining: Polyester 100%
0690449036,Black,036,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449040,Denim gray,040,0690449,Skinny fit,Lining: Polyester 100%
0690449040,Denim gray,040,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449043,Light denim blue/trashed,043,0690449,Skinny fit,Lining: Polyester 100%
0690449043,Light denim blue/trashed,043,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449046,Light denim gray/Trashed,046,0690449,Skinny fit,Lining: Polyester 100%
0690449046,Light denim gray/Trashed,046,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449051,Gray,051,0690449,Skinny fit,Lining: Polyester 100%
0690449051,Gray,051,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449001,Light denim blue/trashed,001,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449001,Light denim blue/trashed,001,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449002,Denim blue,002,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449002,Denim blue,002,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449006,Black/washed,006,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449006,Black/washed,006,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449007,Light denim blue,007,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449007,Light denim blue,007,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449009,Black washed out,009,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449009,Black washed out,009,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449011,White,011,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449011,White,011,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449013,Black/washed,013,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449013,Black/washed,013,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449021,Dark denim blue/trashed,021,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449021,Dark denim blue/trashed,021,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449022,Black/trashed,022,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449022,Black/trashed,022,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449024,Dark blue/Trashed,024,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449024,Dark blue/Trashed,024,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449028,Dark blue/washed out,028,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449028,Dark blue/washed out,028,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449035,Denim blue/trashed,035,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449035,Denim blue/trashed,035,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449036,Black,036,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449036,Black,036,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449040,Denim gray,040,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449040,Denim gray,040,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449046,Light denim gray/Trashed,046,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449046,Light denim gray/Trashed,046,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0690449051,Gray,051,0690449,Skinny fit,"Cotton 98%, Spandex 2%"
0690449051,Gray,051,0690449,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197001,Black,001,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197001,Black,001,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197003,Denim blue,003,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197003,Denim blue,003,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197004,Dark denim blue,004,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197004,Dark denim blue,004,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197005,Dark denim blue,005,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197005,Dark denim blue,005,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197006,Light denim blue,006,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197006,Light denim blue,006,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197007,Dark gray,007,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197007,Dark gray,007,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
1008549001,Light denim blue,001,1008549,Regular fit,Pocket: Cotton 100%
1008549001,Light denim blue,001,1008549,Regular fit,"Shell: Cotton 99%, Spandex 1%"
1008549002,Denim blue,002,1008549,Regular fit,Pocket: Cotton 100%
1008549002,Denim blue,002,1008549,Regular fit,"Shell: Cotton 99%, Spandex 1%"
1008549004,Dark blue,004,1008549,Regular fit,Pocket: Cotton 100%
1008549004,Dark blue,004,1008549,Regular fit,"Shell: Cotton 99%, Spandex 1%"
0985197001,Black,001,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197001,Black,001,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197002,Midnight blue,002,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197002,Midnight blue,002,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197003,Denim blue,003,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197003,Denim blue,003,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197004,Dark denim blue,004,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197004,Dark denim blue,004,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197005,Dark denim blue,005,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197005,Dark denim blue,005,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
0985197006,Light denim blue,006,0985197,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%"
0985197006,Light denim blue,006,0985197,Slim fit,"Shell: Cotton 99%, Spandex 1%"
